"TZNAME"
"Africa/Johannesburg"
"Africa/Libreville"
"Africa/Lusaka"
"Africa/Sao_Tome"
"America/Argentina/Cordoba"
"America/Argentina/Salta"
"America/Argentina/San_Luis"
"America/Atka"
"America/Barbados"
"America/Bogota"
"America/Buenos_Aires"
"America/Costa_Rica"
"America/Guatemala"
"America/Indiana/Winamac"
"America/Marigot"
"America/Montserrat"
"America/Phoenix"
"America/Porto_Velho"
"America/Rosario"
"America/Santa_Isabel"
"America/Santiago"
"America/Scoresbysund"
"America/St_Vincent"
"America/Thule"
"America/Toronto"
"Antarctica/DumontDUrville"
"Asia/Aden"
"Asia/Amman"
"Asia/Ashkhabad"
"Asia/Bishkek"
"Asia/Choibalsan"
"Asia/Chungking"
"Asia/Colombo"
"Asia/Dhaka"
"Asia/Dushanbe"
"Asia/Gaza"
"Asia/Irkutsk"
"Asia/Jerusalem"
"Asia/Novosibirsk"
"Asia/Omsk"
"Asia/Rangoon"
"Asia/Tel_Aviv"
"Asia/Thimbu"
"Asia/Vientiane"
"Asia/Vladivostok"
"Atlantic/Canary"
"Australia/Currie"
"Australia/Hobart"
"Australia/Lord_Howe"
"Australia/Perth"
"Australia/Sydney"
"Canada/Central"
"Etc/GMT+0"
"Etc/GMT+5"
"Etc/GMT-8"
"Etc/GMT-9"
"Europe/Belgrade"
"Europe/Berlin"
"Europe/Budapest"
"Europe/Gibraltar"
"Europe/Isle_of_Man"
"Europe/Kaliningrad"
"Europe/Ljubljana"
"Europe/Luxembourg"
"Europe/Paris"
"Europe/Tallinn"
"Europe/Uzhgorod"
"Europe/Volgograd"
"GMT"
"HST"
"Indian/Cocos"
"MET"
"Mexico/BajaNorte"
"Pacific/Apia"
"Pacific/Efate"
"Pacific/Fiji"
"Pacific/Guadalcanal"
"Pacific/Johnston"
"Pacific/Pitcairn"
"Pacific/Port_Moresby"
"Pacific/Samoa"
"Pacific/Truk"
"Pacific/Yap"
"US/Eastern"
"US/Michigan"
"Africa/Bangui"
"Africa/Blantyre"
"Africa/Cairo"
"Africa/Khartoum"
"Africa/Lagos"
"Africa/Malabo"
"Africa/Maseru"
"Africa/Nairobi"
"Africa/Tunis"
"America/Argentina/Tucuman"
"America/Bahia_Banderas"
"America/Blanc-Sablon"
"America/Cancun"
"America/Dominica"
"America/Havana"
"America/Indiana/Marengo"
"America/Los_Angeles"
"America/Managua"
"America/Martinique"
"America/Mazatlan"
"America/Menominee"
"America/Miquelon"
"America/Nome"
"America/Rankin_Inlet"
"America/Santo_Domingo"
"America/Shiprock"
"America/St_Thomas"
"America/Virgin"
"America/Whitehorse"
"America/Winnipeg"
"America/Yakutat"
"Antarctica/South_Pole"
"Arctic/Longyearbyen"
"Asia/Baghdad"
"Asia/Baku"
"Asia/Bangkok"
"Asia/Calcutta"
"Asia/Damascus"
"Asia/Harbin"
"Asia/Jakarta"
"Asia/Kabul"
"Asia/Singapore"
"Asia/Urumqi"
"Atlantic/Azores"
"Australia/Adelaide"
"Australia/LHI"
"Brazil/West"
"Canada/Pacific"
"CST6CDT"
"Cuba"
"Egypt"
"Etc/GMT+2"
"Etc/GMT+4"
"Etc/GMT0"
"Etc/GMT-14"
"Europe/Amsterdam"
"Europe/Helsinki"
"Europe/Istanbul"
"Europe/Kiev"
"Europe/Lisbon"
"Europe/Mariehamn"
"Europe/Minsk"
"GB-Eire"
"Greenwich"
"Indian/Antananarivo"
"Indian/Mayotte"
"Kwajalein"
"Pacific/Auckland"
"Pacific/Galapagos"
"Pacific/Honolulu"
"Pacific/Nauru"
"Pacific/Wallis"
"US/Central"
"US/Mountain"
"UTC"
"Africa/Gaborone"
"America/Asuncion"
"America/Campo_Grande"
"America/Chicago"
"America/Detroit"
"America/Edmonton"
"America/Ensenada"
"America/Goose_Bay"
"America/Halifax"
"America/Indiana/Petersburg"
"America/Indianapolis"
"America/Iqaluit"
"America/Jamaica"
"America/Merida"
"America/Montreal"
"America/New_York"
"America/Ojinaga"
"America/Port-au-Prince"
"America/St_Johns"
"America/St_Lucia"
"America/Thunder_Bay"
"Antarctica/Casey"
"Antarctica/Davis"
"Antarctica/Macquarie"
"Antarctica/McMurdo"
"Antarctica/Syowa"
"Asia/Almaty"
"Asia/Chongqing"
"Asia/Hong_Kong"
"Asia/Kathmandu"
"Asia/Kuching"
"Asia/Kuwait"
"Asia/Magadan"
"Asia/Shanghai"
"Asia/Thimphu"
"Asia/Yakutsk"
"Asia/Yerevan"
"Atlantic/Faroe"
"Atlantic/Jan_Mayen"
"Atlantic/Madeira"
"Atlantic/South_Georgia"
"Australia/Darwin"
"Australia/Eucla"
"Canada/East-Saskatchewan"
"CET"
"CST"
"Etc/GMT+1"
"Etc/GMT-1"
"Etc/GMT-12"
"Europe/Belfast"
"Europe/Chisinau"
"Europe/Copenhagen"
"Europe/London"
"Europe/Rome"
"Europe/Skopje"
"Europe/Warsaw"
"GB"
"Indian/Maldives"
"Israel"
"Pacific/Gambier"
"Pacific/Kosrae"
"Pacific/Norfolk"
"Pacific/Rarotonga"
"Pacific/Saipan"
"PST8PDT"
"US/Hawaii"
"W-SU"
"Africa/Algiers"
"Africa/Asmera"
"Africa/Banjul"
"Africa/Bujumbura"
"Africa/Casablanca"
"Africa/Djibouti"
"Africa/El_Aaiun"
"Africa/Luanda"
"America/Anchorage"
"America/Argentina/La_Rioja"
"America/Argentina/Mendoza"
"America/Argentina/San_Juan"
"America/Aruba"
"America/Boa_Vista"
"America/Catamarca"
"America/Cayman"
"America/Chihuahua"
"America/Curacao"
"America/Dawson_Creek"
"America/El_Salvador"
"America/Fortaleza"
"America/Grand_Turk"
"America/Guayaquil"
"America/Guyana"
"America/North_Dakota/Center"
"America/Port_of_Spain"
"America/Recife"
"America/Regina"
"America/Rio_Branco"
"America/Tegucigalpa"
"Antarctica/Mawson"
"Asia/Anadyr"
"Asia/Dacca"
"Asia/Ho_Chi_Minh"
"Asia/Istanbul"
"Asia/Jayapura"
"Asia/Katmandu"
"Asia/Muscat"
"Asia/Phnom_Penh"
"Asia/Pontianak"
"Asia/Pyongyang"
"Asia/Seoul"
"Asia/Tashkent"
"Asia/Ujung_Pandang"
"Atlantic/Cape_Verde"
"Australia/ACT"
"Australia/North"
"Australia/Victoria"
"Canada/Atlantic"
"Canada/Mountain"
"Canada/Newfoundland"
"Canada/Saskatchewan"
"EET"
"Etc/GMT+11"
"Etc/GMT+12"
"Etc/GMT+6"
"Etc/GMT-0"
"Etc/GMT-13"
"Etc/GMT-4"
"Europe/Madrid"
"Europe/Monaco"
"Europe/Moscow"
"Europe/Oslo"
"Europe/Vaduz"
"Europe/Zurich"
"GMT0"
"Indian/Reunion"
"Libya"
"Navajo"
"Pacific/Funafuti"
"Pacific/Marquesas"
"Pacific/Pago_Pago"
"Pacific/Tarawa"
"ROK"
"Singapore"
"US/Indiana-Starke"
"US/Pacific"
"WET"
"Africa/Dakar"
"Africa/Freetown"
"Africa/Kampala"
"Africa/Lubumbashi"
"Africa/Mbabane"
"Africa/Ndjamena"
"America/Adak"
"America/Anguilla"
"America/Antigua"
"America/Argentina/Jujuy"
"America/Argentina/Rio_Gallegos"
"America/Argentina/Ushuaia"
"America/Atikokan"
"America/Cambridge_Bay"
"America/Caracas"
"America/Dawson"
"America/Fort_Wayne"
"America/Glace_Bay"
"America/Godthab"
"America/Inuvik"
"America/Jujuy"
"America/Lima"
"America/Nassau"
"America/Noronha"
"America/Pangnirtung"
"America/Puerto_Rico"
"America/St_Barthelemy"
"America/St_Kitts"
"America/Tijuana"
"Asia/Aqtau"
"Asia/Ashgabat"
"Asia/Kamchatka"
"Asia/Krasnoyarsk"
"Asia/Kuala_Lumpur"
"Asia/Makassar"
"Asia/Qatar"
"Asia/Samarkand"
"Asia/Taipei"
"Asia/Tbilisi"
"Asia/Ulan_Bator"
"Asia/Yekaterinburg"
"Atlantic/Reykjavik"
"Australia/Brisbane"
"Australia/Lindeman"
"Australia/Queensland"
"Australia/Yancowinna"
"Brazil/Acre"
"Canada/Eastern"
"EST"
"Etc/GMT-6"
"Etc/GMT-7"
"Europe/Riga"
"Europe/Sarajevo"
"Europe/Simferopol"
"Europe/Stockholm"
"Europe/Vatican"
"Europe/Vilnius"
"Hongkong"
"Indian/Kerguelen"
"Indian/Mahe"
"Iran"
"Japan"
"Pacific/Guam"
"Pacific/Kiritimati"
"Pacific/Kwajalein"
"Pacific/Midway"
"Pacific/Niue"
"Portugal"
"PST"
"Turkey"
"US/East-Indiana"
"US/Samoa"
